STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",20-03-2000,,83,94,74
IN020040900,"MADRAS MINAMBAKKAM, IN",21-03-2000,,83,,73
IN020040900,"MADRAS MINAMBAKKAM, IN",22-03-2000,,83,,75
IN020040900,"MADRAS MINAMBAKKAM, IN",23-03-2000,,83,,75
IN020040900,"MADRAS MINAMBAKKAM, IN",24-03-2000,,84,91,76
IN020040900,"MADRAS MINAMBAKKAM, IN",25-03-2000,,83,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",26-03-2000,0.03,83,91,77
IN020040900,"MADRAS MINAMBAKKAM, IN",27-03-2000,0,83,91,77
IN020040900,"MADRAS MINAMBAKKAM, IN",28-03-2000,,84,92,
IN020040900,"MADRAS MINAMBAKKAM, IN",29-03-2000,,83,93,77
IN020040900,"MADRAS MINAMBAKKAM, IN",30-03-2000,,80,95,75
IN020040900,"MADRAS MINAMBAKKAM, IN",31-03-2000,,85,94,70
IN020040900,"MADRAS MINAMBAKKAM, IN",01-04-2000,0.47,82,88,78
IN020040900,"MADRAS MINAMBAKKAM, IN",02-04-2000,0.01,84,91,79
IN020040900,"MADRAS MINAMBAKKAM, IN",03-04-2000,0,86,92,79
IN020040900,"MADRAS MINAMBAKKAM, IN",04-04-2000,,87,94,79
IN020040900,"MADRAS MINAMBAKKAM, IN",05-04-2000,,85,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",06-04-2000,,85,94,78
IN020040900,"MADRAS MINAMBAKKAM, IN",07-04-2000,,86,94,79
IN020040900,"MADRAS MINAMBAKKAM, IN",08-04-2000,,85,95,
IN020040900,"MADRAS MINAMBAKKAM, IN",09-04-2000,,88,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",10-04-2000,,85,96,78
IN020040900,"MADRAS MINAMBAKKAM, IN",11-04-2000,,86,,78
IN020040900,"MADRAS MINAMBAKKAM, IN",12-04-2000,,87,99,80
IN020040900,"MADRAS MINAMBAKKAM, IN",13-04-2000,,87,,81
IN020040900,"MADRAS MINAMBAKKAM, IN",14-04-2000,,89,,81
IN020040900,"MADRAS MINAMBAKKAM, IN",15-04-2000,,89,,81
IN020040900,"MADRAS MINAMBAKKAM, IN",16-04-2000,,87,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",17-04-2000,,87,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",18-04-2000,,84,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",19-04-2000,,85,94,77
IN020040900,"MADRAS MINAMBAKKAM, IN",20-04-2000,,85,96,78
IN020040900,"MADRAS MINAMBAKKAM, IN",21-04-2000,,88,98,78
IN020040900,"MADRAS MINAMBAKKAM, IN",22-04-2000,,88,,80
IN020040900,"MADRAS MINAMBAKKAM, IN",23-04-2000,,88,99,81
IN020040900,"MADRAS MINAMBAKKAM, IN",24-04-2000,,87,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",25-04-2000,,89,107,79
IN020040900,"MADRAS MINAMBAKKAM, IN",26-04-2000,,88,104,78
IN020040900,"MADRAS MINAMBAKKAM, IN",27-04-2000,,91,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",28-04-2000,,90,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",29-04-2000,,90,107,83
IN020040900,"MADRAS MINAMBAKKAM, IN",30-04-2000,,90,,83
IN020040900,"MADRAS MINAMBAKKAM, IN",01-05-2000,,88,100,
IN020040900,"MADRAS MINAMBAKKAM, IN",02-05-2000,,88,99,
IN020040900,"MADRAS MINAMBAKKAM, IN",03-05-2000,,88,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",04-05-2000,0.02,85,97,76
IN020040900,"MADRAS MINAMBAKKAM, IN",05-05-2000,0,88,97,79
IN020040900,"MADRAS MINAMBAKKAM, IN",06-05-2000,,86,99,
IN020040900,"MADRAS MINAMBAKKAM, IN",07-05-2000,,90,98,80
IN020040900,"MADRAS MINAMBAKKAM, IN",08-05-2000,,84,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",09-05-2000,,87,95,81
IN020040900,"MADRAS MINAMBAKKAM, IN",10-05-2000,,86,98,81
IN020040900,"MADRAS MINAMBAKKAM, IN",11-05-2000,,89,104,82
IN020040900,"MADRAS MINAMBAKKAM, IN",12-05-2000,,89,107,81
IN020040900,"MADRAS MINAMBAKKAM, IN",13-05-2000,,93,108,82
IN020040900,"MADRAS MINAMBAKKAM, IN",14-05-2000,,94,109,82
IN020040900,"MADRAS MINAMBAKKAM, IN",15-05-2000,,94,108,84
IN020040900,"MADRAS MINAMBAKKAM, IN",16-05-2000,0.01,93,106,
IN020040900,"MADRAS MINAMBAKKAM, IN",17-05-2000,0.2,89,103,77
IN020040900,"MADRAS MINAMBAKKAM, IN",18-05-2000,0.04,89,103,81
IN020040900,"MADRAS MINAMBAKKAM, IN",19-05-2000,0,90,,82
IN020040900,"MADRAS MINAMBAKKAM, IN",20-05-2000,0.03,90,104,81
